#t lex rand randsort randsortdesc randw randwnoh 
32273 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925593235.79
32274 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925637786.47
32275 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925682337.15
32276 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925726887.83
32277 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925771438.51
32278 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925815989.18
32279 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925860539.86
32280 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925905090.54
32281 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925949641.22
32282 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1925994191.9
32283 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1926038742.57
32284 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1926083293.25
32285 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1926127843.93
32286 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1926172394.61
32287 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1926216945.29
32288 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1926261495.96
