#t lex rand randsort randsortdesc randw randwnoh 
13057 636638283.724 667759290.17 851609029.0 553804369.78 578267860.467 459883491.533
13058 636645817.774 667791676.267 851654154.163 553811903.829 578300185.952 459891025.582
13059 636653351.823 667824062.364 851699279.325 553819437.878 578332511.437 459898559.632
13060 636660885.873 667856448.461 851744404.487 553826971.928 578364836.922 459906093.681
13061 636668419.922 667888834.558 851789529.65 553834505.977 578397162.407 459913627.731
13062 636675953.972 667921220.655 851834654.812 553842040.027 578429487.892 459921161.78
13063 636683488.021 667953606.752 851879779.974 553849574.076 578461813.377 459928695.83
13064 636691022.071 667985992.849 851924905.137 553857108.126 578494138.861 459936229.879
13065 636698556.12 668018378.947 851970030.299 553864642.175 578526464.346 459943763.928
13066 636706090.17 668050765.044 852015155.461 553872176.225 578558789.831 459951297.978
13067 636713624.219 668083151.141 852060280.624 553879710.274 578591115.316 459958832.027
13068 636721158.268 668115537.238 852105405.786 553887244.324 578623440.801 459966366.077
13069 636728692.318 668147923.335 852150530.948 553894778.373 578655766.286 459973900.126
13070 636736226.367 668180309.432 852195656.11 553902312.423 578688091.771 459981434.176
13071 636743760.417 668212695.529 852240781.273 553909846.472 578720417.256 459988968.225
13072 636751294.466 668245081.626 852285906.435 553917380.522 578752742.74 459996502.275
13073 636758828.516 668277467.723 852331031.597 553924914.571 578785068.225 460004036.324
13074 636766362.565 668309853.82 852376156.76 553932448.621 578817393.71 460011570.374
13075 636773896.615 668342239.918 852421281.922 553939982.67 578849719.195 460019104.423
13076 636781430.664 668374626.015 852466407.084 553947516.72 578882044.68 460026638.473
13077 636788964.714 668407012.112 852511532.247 553955050.769 578914370.165 460034172.522
13078 636796498.763 668439398.209 852556657.409 553962584.819 578946695.65 460041706.572
13079 636804032.813 668471784.306 852601782.571 553970118.868 578979021.135 460049240.621
13080 636811566.862 668504170.403 852646907.734 553977652.918 579011346.619 460056774.671
13081 636819100.912 668536556.5 852692032.896 553985186.967 579043672.104 460064308.72
13082 636826634.961 668568942.597 852737158.058 553992721.017 579075997.589 460071842.77
13083 636834169.011 668601328.694 852782283.22 554000255.066 579108323.074 460079376.819
13084 636841703.06 668633714.791 852827408.383 554007789.116 579140648.559 460086910.869
13085 636849237.11 668666100.889 852872533.545 554015323.165 579172974.044 460094444.918
13086 636856771.159 668698486.986 852917658.707 554022857.214 579205299.529 460101978.968
13087 636864305.209 668730873.083 852962783.87 554030391.264 579237625.014 460109513.017
13088 636871839.258 668763259.18 853007909.032 554037925.313 579269950.498 460117047.067
13089 636879373.308 668795645.277 853053034.194 554045459.363 579302275.983 460124581.116
13090 636886907.357 668828031.374 853098159.357 554052993.412 579334601.468 460132115.166
13091 636894441.407 668860417.471 853143284.519 554060527.462 579366926.953 460139649.215
13092 636901975.456 668892803.568 853188409.681 554068061.511 579399252.438 460147183.264
13093 636909509.506 668925189.665 853233534.843 554075595.561 579431577.923 460154717.314
13094 636917043.555 668957575.762 853278660.006 554083129.61 579463903.408 460162251.363
13095 636924577.604 668989961.86 853323785.168 554090663.66 579496228.893 460169785.413
13096 636932111.654 669022347.957 853368910.33 554098197.709 579528554.377 460177319.462
13097 636939645.703 669054734.054 853414035.493 554105731.759 579560879.862 460184853.512
13098 636947179.753 669087120.151 853459160.655 554113265.808 579593205.347 460192387.561
13099 636954713.802 669119506.248 853504285.817 554120799.858 579625530.832 460199921.611
13100 636962247.852 669151892.345 853549410.98 554128333.907 579657856.317 460207455.66
13101 636969781.901 669184278.442 853594536.142 554135867.957 579690181.802 460214989.71
13102 636977315.951 669216664.539 853639661.304 554143402.006 579722507.287 460222523.759
13103 636984850.0 669249050.636 853684786.467 554150936.056 579754832.772 460230057.809
13104 636992384.05 669281436.733 853729911.629 554158470.105 579787158.256 460237591.858
13105 636999918.099 669313822.831 853775036.791 554166004.155 579819483.741 460245125.908
13106 637007452.149 669346208.928 853820161.953 554173538.204 579851809.226 460252659.957
